symbol,direction,entry_time,close_time,holding_minutes,holding_hours,entry_price,close_price,pnl,close_reason,probability,quality_score
NCCOSILVER2USD/USDT:USDT,long,2026-01-27T20:14:13,2026-01-27T20:33:42,19.48,0.32,11126.0,11006.7,-1.08,Stop Loss достигнут (11015.19),0.0,0.0
NCCOSILVER2USD/USDT:USDT,long,2026-01-27T20:15:33,2026-01-27T20:33:41,18.13,0.3,11126.0,11006.4,-1.08,Stop Loss достигнут (11015.19),0.0,0.0
NCCOSILVER2USD/USDT:USDT,long,2026-01-27T20:16:49,2026-01-27T20:33:40,16.85,0.28,11126.0,11012.3,-1.02,Stop Loss достигнут (11015.19),0.0,0.0
NCCOSILVER2USD/USDT:USDT,long,2026-01-27T20:17:20,2026-01-27T20:33:38,16.3,0.27,11126.0,11007.2,-1.07,Stop Loss достигнут (11015.19),0.0,0.0
ETH/USDT:USDT,long,2026-01-27T20:30:57,2026-01-27T20:32:11,1.23,0.02,3007.93,3007.66,-0.01,Take Profit достигнут (2970.77),89.63,26.0
ETH/USDT:USDT,long,2026-01-27T20:32:04,2026-01-27T20:32:08,0.07,0.0,3007.93,3007.56,-0.01,Take Profit достигнут (2970.77),0.0,0.0
ETH/USDT:USDT,long,2026-01-27T20:24:12,2026-01-27T20:25:04,0.87,0.01,3006.88,3010.0,0.11,Take Profit достигнут (2970.23),92.0,23.0
ETH/USDT:USDT,long,2026-01-27T20:24:52,2026-01-27T20:24:56,0.07,0.0,3006.88,3009.7,0.1,Take Profit достигнут (2970.23),0.0,0.0
SOL/USDT:USDT,long,2026-01-27T19:28:07,2026-01-27T20:21:39,53.53,0.89,125.633,127.172,1.23,Take Profit достигнут (126.72),47.6,36.0
XRP/USDT:USDT,long,2026-01-27T19:28:32,2026-01-27T20:21:37,53.08,0.88,1.9019,1.9249,1.21,Take Profit достигнут (1.92),44.355,27.0
SOL/USDT:USDT,long,2026-01-27T19:28:32,2026-01-27T20:21:36,53.07,0.88,125.633,127.126,1.19,Take Profit достигнут (126.72),0.0,0.0
XRP/USDT:USDT,long,2026-01-27T19:28:38,2026-01-27T20:21:34,52.93,0.88,1.9019,1.9254,1.24,Take Profit достигнут (1.92),0.0,0.0
XRP/USDT:USDT,long,2026-01-27T19:29:27,2026-01-27T20:21:32,52.08,0.87,1.9019,1.9255,1.24,Take Profit достигнут (1.92),0.0,0.0
XRP/USDT:USDT,long,2026-01-27T19:30:16,2026-01-27T20:21:31,51.25,0.85,1.9019,1.9252,1.23,Take Profit достигнут (1.92),0.0,0.0
XRP/USDT:USDT,long,2026-01-27T19:30:54,2026-01-27T20:21:30,50.6,0.84,1.9019,1.9252,1.23,Take Profit достигнут (1.92),0.0,0.0
XRP/USDT:USDT,long,2026-01-27T19:30:55,2026-01-27T20:21:28,50.55,0.84,1.9019,1.9245,1.19,Take Profit достигнут (1.92),0.0,0.0
XRP/USDT:USDT,long,2026-01-27T19:30:55,2026-01-27T20:21:27,50.53,0.84,1.9019,1.9247,1.2,Take Profit достигнут (1.92),0.0,0.0
XRP/USDT:USDT,long,2026-01-27T19:30:55,2026-01-27T20:21:25,50.5,0.84,1.9019,1.9245,1.19,Take Profit достигнут (1.92),0.0,0.0
XRP/USDT:USDT,long,2026-01-27T19:30:55,2026-01-27T20:21:23,50.47,0.84,1.9019,1.9245,1.19,Take Profit достигнут (1.92),0.0,0.0
XRP/USDT:USDT,long,2026-01-27T19:30:55,2026-01-27T20:21:21,50.43,0.84,1.9019,1.9257,1.25,Take Profit достигнут (1.92),0.0,0.0
XRP/USDT:USDT,long,2026-01-27T19:30:55,2026-01-27T20:21:19,50.4,0.84,1.9019,1.9255,1.24,Take Profit достигнут (1.92),0.0,0.0
XRP/USDT:USDT,long,2026-01-27T19:31:01,2026-01-27T20:21:17,50.27,0.84,1.9019,1.9255,1.24,Take Profit достигнут (1.92),0.0,0.0
XRP/USDT:USDT,long,2026-01-27T19:31:02,2026-01-27T20:21:15,50.22,0.84,1.9019,1.9255,1.24,Take Profit достигнут (1.92),0.0,0.0
XRP/USDT:USDT,long,2026-01-27T19:31:02,2026-01-27T20:21:13,50.18,0.84,1.9019,1.9247,1.2,Take Profit достигнут (1.92),0.0,0.0
XRP/USDT:USDT,long,2026-01-27T19:31:02,2026-01-27T20:21:11,50.15,0.84,1.9019,1.9249,1.21,Take Profit достигнут (1.92),0.0,0.0
XRP/USDT:USDT,long,2026-01-27T19:31:02,2026-01-27T20:21:09,50.12,0.84,1.9019,1.9252,1.23,Take Profit достигнут (1.92),0.0,0.0
XRP/USDT:USDT,long,2026-01-27T19:31:02,2026-01-27T20:21:08,50.1,0.84,1.9019,1.9262,1.28,Take Profit достигнут (1.92),0.0,0.0
XRP/USDT:USDT,long,2026-01-27T19:31:02,2026-01-27T20:21:07,50.08,0.83,1.9073,1.9259,1.26,Take Profit достигнут (1.92),0.0,0.0
XRP/USDT:USDT,long,2026-01-27T19:48:23,2026-01-27T20:20:56,32.55,0.54,1.9064,1.9256,1.25,Take Profit достигнут (1.92),0.0,0.0
XRP/USDT:USDT,long,2026-01-27T19:55:00,2026-01-27T20:20:54,25.9,0.43,1.9064,1.924,1.16,Take Profit достигнут (1.92),0.0,0.0
XRP/USDT:USDT,long,2026-01-27T19:55:28,2026-01-27T20:20:52,25.4,0.42,1.9064,1.9235,1.14,Take Profit достигнут (1.92),0.0,0.0
